"","staid","LakeElevFt","Date","qualcode","LakeElev_m","DBL_elev_N","DBL_elev_S","DBL_vol_N_m3","DBL_vol_S_m3","DBL_vol_total_m3","UBL_vol_m3","GB_vol_m3","DBL_vol_acreft","UBL_vol_acreft","GB_vol_acreft"
"2313","10010000",4194.08,2016-05-01,"A",1278.35554309262,1272.27984892064,1271.09325725119,276857492.109375,126038030.6875,402895522.796875,7626183139.4375,8029078662.23438,326633.040868746,6182653.43770593,6509286.47857468
"2314","10010000",4194.13,2016-05-02,"A",1278.37078309214,1272.29557096134,1271.10966204387,280138656.851562,131030706.6875,411169363.539062,7643870078.75781,8055039442.29688,333340.759392208,6196992.48703006,6530333.24642227
"2315","10010000",4194.13,2016-05-03,"A",1278.37078309214,1272.29557096134,1271.10966204387,280138656.851562,131030706.6875,411169363.539062,7643870078.75781,8055039442.29688,333340.759392208,6196992.48703006,6530333.24642227
"2316","10010000",4194.14,2016-05-04,"A",1278.37383109204,1272.29871536948,1271.1129430024,280797085.007812,132034061.609375,412831146.617188,7647405200.53906,8060236347.15625,334687.990198607,6199858.45974983,6534546.44994843
"2317","10010000",4194.12,2016-05-05,"A",1278.36773509223,1272.2924265532,1271.10638108533,279480960.4375,130028958.328125,409509918.765625,7640334201.60938,8049844120.375,331995.424282155,6194125.90192354,6526121.3262057
"2318","10010000",4194.12,2016-05-06,"A",1278.36773509223,1272.2924265532,1271.10638108533,279480960.4375,130028958.328125,409509918.765625,7640334201.60938,8049844120.375,331995.424282155,6194125.90192354,6526121.3262057
"2319","10010000",4194.17,2016-05-07,"A",1278.38297509174,1272.3081485939,1271.12278587801,282776759.835938,135053765.78125,417830525.617188,7658006033.85156,8075836559.46875,338741.056745213,6208452.70372794,6547193.76047315
"2320","10010000",4194.14,2016-05-08,"A",1278.37383109204,1272.29871536948,1271.1129430024,280797085.007812,132034061.609375,412831146.617188,7647405200.53906,8060236347.15625,334687.990198607,6199858.45974983,6534546.44994843
"2321","10010000",4194.28,2016-05-09,"A",1278.41650309067,1272.34273708343,1271.15887642189,290091911.03125,146249720.703125,436341631.734375,7696817593.25,8133159224.98438,353748.269629902,6239917.77829408,6593666.04792398
"2322","10010000",4194.29,2016-05-10,"A",1278.41955109057,1272.34588149157,1271.16215738043,290761315.164062,147277174.1875,438038489.351562,7700341384.72656,8138379874.07812,355123.935856163,6242774.56537721,6597898.50123337
"2323","10010000",4194.24,2016-05-11,"A",1278.40431109106,1272.33015945087,1271.14575258775,287421611.789062,142155972.328125,429577584.117188,7682714873.94531,8112292458.0625,348264.561529982,6228484.5063157,6576749.06784568
"2324","10010000",4194.2,2016-05-12,"A",1278.39211909145,1272.31758181831,1271.13262875361,284763020.273438,138087929.15625,422850949.429688,7668600068.85156,8091451018.28125,342811.18461594,6217041.43621893,6559852.62083487
"2325","10010000",4194.2,2016-05-13,"A",1278.39211909145,1272.31758181831,1271.13262875361,284763020.273438,138087929.15625,422850949.429688,7668600068.85156,8091451018.28125,342811.18461594,6217041.43621893,6559852.62083487
"2326","10010000",4194.21,2016-05-14,"A",1278.39516709135,1272.32072622645,1271.13590971215,285426570.554688,139102530.078125,424529100.632812,7672129903.17969,8096659003.8125,344171.68529043,6219903.12232642,6564074.80761685
"2327","10010000",4194.36,2016-05-15,"A",1278.44088708989,1272.36789234854,1271.18512409017,295467632.679688,154514332.90625,449981965.585938,7724986774.89844,8174968740.48438,364806.679248038,6262754.92822501,6627561.60747305
"2328","10010000",4194.26,2016-05-16,"A",1278.41040709087,1272.33644826715,1271.15231450482,288755297.945312,144199633.359375,432954931.304688,7689767744.32031,8122722675.625,351002.624177748,6234202.3670689,6585204.99124665
"2329","10010000",4194.22,2016-05-17,"A",1278.39821509126,1272.32387063459,1271.13919067068,286090852.570312,140118737.59375,426209590.164062,7675658982.11719,8101868572.28125,345534.081680268,6222764.19602815,6568298.27770842
"2330","10010000",4194.2,2016-05-18,"A",1278.39211909145,1272.31758181831,1271.13262875361,284763020.273438,138087929.15625,422850949.429688,7668600068.85156,8091451018.28125,342811.18461594,6217041.43621893,6559852.62083487
"2331","10010000",4194.23,2016-05-19,"A",1278.40126309116,1272.32701504273,1271.14247162922,286755866.320312,141136551.671875,427892417.992188,7679187305.71094,8107079723.70312,346898.373760118,6225624.65736214,6572523.03112226
"2332","10010000",4194.11,2016-05-20,"A",1278.36468709233,1272.28928214506,1271.1031001268,278823995.742188,129028816.53125,407852812.273438,7636797569.14844,8044650381.42188,330651.984849448,6191258.70447461,6521910.68932405
"2333","10010000",4194.16,2016-05-21,"A",1278.37992709184,1272.30500418576,1271.11950491947,282116136.5,134045591.171875,416161727.671875,7654473178.09375,8070634905.76562,337388.138887776,6205588.5681051,6542976.70699287
"2334","10010000",4194.24,2016-05-22,"A",1278.40431109106,1272.33015945087,1271.14575258775,287421611.789062,142155972.328125,429577584.117188,7682714873.94531,8112292458.0625,348264.561529982,6228484.5063157,6576749.06784568
"2335","10010000",4194.24,2016-05-23,"A",1278.40431109106,1272.33015945087,1271.14575258775,287421611.789062,142155972.328125,429577584.117188,7682714873.94531,8112292458.0625,348264.561529982,6228484.5063157,6576749.06784568
"2336","10010000",4194.25,2016-05-24,"A",1278.40735909096,1272.33330385901,1271.14903354629,288088089.007812,143176999.546875,431265088.554688,7686241686.80469,8117506775.35938,349632.645002525,6231343.74287618,6580976.3878787
"2337","10010000",4194.24,2016-05-25,"A",1278.40431109106,1272.33015945087,1271.14575258775,287421611.789062,142155972.328125,429577584.117188,7682714873.94531,8112292458.0625,348264.561529982,6228484.5063157,6576749.06784568
"2338","10010000",4194.26,2016-05-26,"A",1278.41040709087,1272.33644826715,1271.15231450482,288755297.945312,144199633.359375,432954931.304688,7689767744.32031,8122722675.625,351002.624177748,6234202.3670689,6585204.99124665
"2339","10010000",4194.25,2016-05-27,"A",1278.40735909096,1272.33330385901,1271.14903354629,288088089.007812,143176999.546875,431265088.554688,7686241686.80469,8117506775.35938,349632.645002525,6231343.74287618,6580976.3878787
"2340","10010000",4194.25,2016-05-28,"A",1278.40735909096,1272.33330385901,1271.14903354629,288088089.007812,143176999.546875,431265088.554688,7686241686.80469,8117506775.35938,349632.645002525,6231343.74287618,6580976.3878787
"2341","10010000",4194.23,2016-05-29,"A",1278.40126309116,1272.32701504273,1271.14247162922,286755866.320312,141136551.671875,427892417.992188,7679187305.71094,8107079723.70312,346898.373760118,6225624.65736214,6572523.03112226
"2342","10010000",4194.23,2016-05-30,"A",1278.40126309116,1272.32701504273,1271.14247162922,286755866.320312,141136551.671875,427892417.992188,7679187305.71094,8107079723.70312,346898.373760118,6225624.65736214,6572523.03112226
"2343","10010000",4194.26,2016-05-31,"A",1278.41040709087,1272.33644826715,1271.15231450482,288755297.945312,144199633.359375,432954931.304688,7689767744.32031,8122722675.625,351002.624177748,6234202.3670689,6585204.99124665
"2344","10010000",4194.24,2016-06-01,"A",1278.40431109106,1272.33015945087,1271.14575258775,287421611.789062,142155972.328125,429577584.117188,7682714873.94531,8112292458.0625,348264.561529982,6228484.5063157,6576749.06784568
"2345","10010000",4194.22,2016-06-02,"A",1278.39821509126,1272.32387063459,1271.13919067068,286090852.570312,140118737.59375,426209590.164062,7675658982.11719,8101868572.28125,345534.081680268,6222764.19602815,6568298.27770842
"2346","10010000",4194.23,2016-06-03,"A",1278.40126309116,1272.32701504273,1271.14247162922,286755866.320312,141136551.671875,427892417.992188,7679187305.71094,8107079723.70312,346898.373760118,6225624.65736214,6572523.03112226
"2347","10010000",4194.22,2016-06-04,"A",1278.39821509126,1272.32387063459,1271.13919067068,286090852.570312,140118737.59375,426209590.164062,7675658982.11719,8101868572.28125,345534.081680268,6222764.19602815,6568298.27770842
"2348","10010000",4194.23,2016-06-05,"A",1278.40126309116,1272.32701504273,1271.14247162922,286755866.320312,141136551.671875,427892417.992188,7679187305.71094,8107079723.70312,346898.373760118,6225624.65736214,6572523.03112226
"2349","10010000",4194.19,2016-06-06,"A",1278.38907109155,1272.31443741018,1271.12934779508,284100201.742188,137074934.796875,421175136.539062,7665069479.19531,8086244615.73438,341452.57964413,6214179.13775635,6555631.71740048
"2350","10010000",4194.23,2016-06-07,"A",1278.40126309116,1272.32701504273,1271.14247162922,286755866.320312,141136551.671875,427892417.992188,7679187305.71094,8107079723.70312,346898.373760118,6225624.65736214,6572523.03112226
"2351","10010000",4194.2,2016-06-08,"A",1278.39211909145,1272.31758181831,1271.13262875361,284763020.273438,138087929.15625,422850949.429688,7668600068.85156,8091451018.28125,342811.18461594,6217041.43621893,6559852.62083487
"2352","10010000",4194.19,2016-06-09,"A",1278.38907109155,1272.31443741018,1271.12934779508,284100201.742188,137074934.796875,421175136.539062,7665069479.19531,8086244615.73438,341452.57964413,6214179.13775635,6555631.71740048
"2353","10010000",4194.17,2016-06-10,"A",1278.38297509174,1272.3081485939,1271.12278587801,282776759.835938,135053765.78125,417830525.617188,7658006033.85156,8075836559.46875,338741.056745213,6208452.70372794,6547193.76047315
"2354","10010000",4194.2,2016-06-11,"A",1278.39211909145,1272.31758181831,1271.13262875361,284763020.273438,138087929.15625,422850949.429688,7668600068.85156,8091451018.28125,342811.18461594,6217041.43621893,6559852.62083487
"2355","10010000",4194.26,2016-06-12,"A",1278.41040709087,1272.33644826715,1271.15231450482,288755297.945312,144199633.359375,432954931.304688,7689767744.32031,8122722675.625,351002.624177748,6234202.3670689,6585204.99124665
"2356","10010000",4194.13,2016-06-13,"A",1278.37078309214,1272.29557096134,1271.10966204387,280138656.851562,131030706.6875,411169363.539062,7643870078.75781,8055039442.29688,333340.759392208,6196992.48703006,6530333.24642227
"2357","10010000",4194.11,2016-06-14,"A",1278.36468709233,1272.28928214506,1271.1031001268,278823995.742188,129028816.53125,407852812.273438,7636797569.14844,8044650381.42188,330651.984849448,6191258.70447461,6521910.68932405
"2358","10010000",4194.05,2016-06-15,"A",1278.34639909292,1272.27041569622,1271.08341437559,274897574.046875,123061703.953125,397959278,7615561911.57812,8013521189.57812,322631.158104492,6174042.65958315,6496673.81768764
"2359","10010000",4194.19,2016-06-16,"A",1278.38907109155,1272.31443741018,1271.12934779508,284100201.742188,137074934.796875,421175136.539062,7665069479.19531,8086244615.73438,341452.57964413,6214179.13775635,6555631.71740048
"2360","10010000",4194.12,2016-06-17,"A",1278.36773509223,1272.2924265532,1271.10638108533,279480960.4375,130028958.328125,409509918.765625,7640334201.60938,8049844120.375,331995.424282155,6194125.90192354,6526121.3262057
"2361","10010000",4194.05,2016-06-18,"A",1278.34639909292,1272.27041569622,1271.08341437559,274897574.046875,123061703.953125,397959278,7615561911.57812,8013521189.57812,322631.158104492,6174042.65958315,6496673.81768764
"2362","10010000",4194.13,2016-06-19,"A",1278.37078309214,1272.29557096134,1271.10966204387,280138656.851562,131030706.6875,411169363.539062,7643870078.75781,8055039442.29688,333340.759392208,6196992.48703006,6530333.24642227
"2363","10010000",4194.05,2016-06-20,"A",1278.34639909292,1272.27041569622,1271.08341437559,274897574.046875,123061703.953125,397959278,7615561911.57812,8013521189.57812,322631.158104492,6174042.65958315,6496673.81768764
"2364","10010000",4194.03,2016-06-21,"A",1278.34030309311,1272.26412687995,1271.07685245852,273594620.664062,121085519.015625,394680139.679688,7608477316.21094,8003157455.89062,319972.714760278,6168299.07893463,6488271.79369491
"2365","10010000",4194.06,2016-06-22,"A",1278.34944709282,1272.27356010436,1271.08669533412,275550148.320312,124052206.296875,399602354.617188,7619103076.22656,8018705430.84375,323963.223321119,6176913.53133994,6500876.75466106
"2366","10010000",4194.02,2016-06-23,"A",1278.33725509321,1272.26098247181,1271.07357149998,272944241.578125,120099836.40625,393044077.984375,7604933885.51562,7997977963.5,318646.336639025,6165426.37006191,6484072.70670094
"2367","10010000",4194.08,2016-06-24,"A",1278.35554309262,1272.27984892064,1271.09325725119,276857492.109375,126038030.6875,402895522.796875,7626183139.4375,8029078662.23438,326633.040868746,6182653.43770593,6509286.47857468
"2368","10010000",4194.1,2016-06-25,"A",1278.36163909243,1272.28613773692,1271.09981916826,278167762.8125,128030281.34375,406198044.15625,7633260181.26562,8039458225.42188,329310.44117009,6188390.89459458,6517701.33576467
"2369","10010000",4193.95,2016-06-26,"A",1278.31591909389,1272.23897161483,1271.05060479024,268412076.484375,113245042.140625,381657118.625,7580108720.54688,7961765839.17188,309414.769268948,6145300.26126944,6454715.03053839
"2370","10010000",4193.93,2016-06-27,"A",1278.30982309409,1272.23268279855,1271.04404287317,267123757.75,111300988.671875,378424746.421875,7573009018.07812,7951433764.5,306794.239870664,6139544.43308219,6446338.67295285
"2371","10010000",4193.89,2016-06-28,"A",1278.29763109448,1272.22010516599,1271.03091903903,264555901.117188,107432160.5625,371988061.679688,7558800548.85156,7930788610.53125,301575.929436586,6128025.42816165,6429601.35759823
